ГОСТ 10704-91;Труба электросварная прямошовная;Вес;D;s
322;63.5x3.5;5.18;63.5;3.5
323;63.5x3.8;5.59;63.5;3.8
324;70x1.4;2.37;70;1.4
325;70x1.5;2.53;70;1.5
326;70x1.6;2.7;70;1.6
327;70x1.8;3.03;70;1.8
328;70x2;3.35;70;2
329;70x2.2;3.68;70;2.2
330;70x2.5;4.16;70;2.5
331;70x2.8;4.64;70;2.8
332;70x3;4.96;70;3
333;70x3.2;5.27;70;3.2
334;70x3.5;5.74;70;3.5
335;70x3.8;6.2;70;3.8
336;70x4;6.51;70;4
337;73x1.4;2.47;73;1.4
338;73x1.5;2.64;73;1.5
339;73x1.6;2.82;73;1.6
340;73x1.8;3.16;73;1.8
341;73x2;3.5;73;2
342;73x2.2;3.84;73;2.2
343;73x2.5;4.35;73;2.5
344;73x2.8;4.85;73;2.8
345;73x3;5.18;73;3
346;73x3.2;5.51;73;3.2
347;73x3.5;6;73;3.5
348;73x3.8;6.48;73;3.8
349;73x4;6.81;73;4
350;76x1.4;2.58;76;1.4
351;76x1.5;2.76;76;1.5
352;76x1.6;2.94;76;1.6
353;76x1.8;3.29;76;1.8
354;76x2;3.65;76;2
355;76x2.2;4;76;2.2
356;76x2.5;4.53;76;2.5
357;76x2.8;5.05;76;2.8
358;76x3;5.4;76;3
359;76x3.2;5.74;76;3.2
360;76x3.5;6.26;76;3.5
361;76x3.8;6.77;76;3.8
362;76x4;7.1;76;4
363;76x4.5;7.93;76;4.5
364;76x5;8.75;76;5
365;76x5.5;9.56;76;5.5
366;83x1.6;3.21;83;1.6
367;83x1.8;3.6;83;1.8
368;83x2;4;83;2
369;83x2.2;4.38;83;2.2
370;83x2.5;4.96;83;2.5
371;83x2.8;5.54;83;2.8
372;83x3;5.92;83;3
373;83x3.2;6.3;83;3.2
374;83x3.5;6.86;83;3.5
375;83x3.8;7.42;83;3.8
376;83x4;7.79;83;4
377;83x4.5;8.71;83;4.5
378;83x5;9.62;83;5
379;83x5.5;10.51;83;5.5
380;89x1.6;3.45;89;1.6
381;89x1.8;3.87;89;1.8
382;89x2;4.29;89;2
383;89x2.2;4.71;89;2.2
384;89x2.5;5.33;89;2.5
385;89x2.8;5.95;89;2.8
386;89x3;6.36;89;3
387;89x3.2;6.77;89;3.2
388;89x3.5;7.38;89;3.5
389;89x3.8;7.98;89;3.8
390;89x4;8.38;89;4
391;89x4.5;9.38;89;4.5
392;89x5;10.36;89;5
393;89x5.5;11.33;89;5.5
394;95x2;4.59;95;2
395;95x2.5;5.7;95;2.5
396;95x3.2;7.24;95;3.2
397;95x5;11.1;95;5
398;102x1.8;4.45;102;1.8
399;102x2;4.93;102;2
400;102x2.2;5.41;102;2.2
401;102x2.5;6.13;102;2.5
402;102x2.8;6.85;102;2.8
403;102x3;7.32;102;3
404;102x3.2;7.8;102;3.2
405;102x3.5;8.5;102;3.5
406;102x3.8;9.2;102;3.8
407;102x4;9.67;102;4
408;102x4.5;10.82;102;4.5
409;102x5;11.96;102;5
410;102x5.5;13.09;102;5.5
411;108x1.8;4.71;108;1.8
412;108x2;5.23;108;2
413;108x2.2;5.74;108;2.2
414;108x2.5;6.5;108;2.5
415;108x2.8;7.26;108;2.8
416;108x3;7.77;108;3
417;108x3.2;8.27;108;3.2
418;108x3.5;9.02;108;3.5
419;108x3.8;9.76;108;3.8
420;108x4;10.26;108;4
421;108x4.5;11.49;108;4.5
422;108x5;12.7;108;5
423;108x5.5;13.9;108;5.5
424;114x1.8;4.98;114;1.8
425;114x2;5.52;114;2
