op_DN	op_vid	op_type	op_h	op_h1	op_h2	op_L	op_B	op_S	op_B1	op_l	op_mАsseffect	op_Qy	op_Px (Pz)	op_Px(0.5Pz)
273	КП	А21	150	190	145	170	200	3	0	0	3.2	25	0	0
273	КП	А22	150	190	0	340	200	4	0	0	9	40	50	70
273	КП	А23	150	190	145	680	200	4	0	0	16.6	40	79	95
273	КП	Б22	150	190	0	340	200	4	220	60	10	40	50	70
273	КП	Б23	150	190	145	680	200	4	220	60	17.6	40	70	95
325	КП	А11	100	131	90	170	200	4	0	0	3.3	50	0	0
325	КП	А12	100	131	0	340	200	4	0	0	6.9	50	60	85
325	КП	А13	100	131	90	680	200	4	0	0	12.8	50	80	110
325	КП	Б12	100	131	0	340	200	4	220	60	7.9	50	60	85
325	КП	Б13	100	131	90	680	200	4	220	60	13.8	50	80	110
325	КП	А21	150	181	140	170	200	4	0	0	4.2	50	0	0
325	КП	А22	150	181	0	340	200	4	0	0	8.7	70	50	70
325	КП	А23	150	181	140	680	200	4	0	0	16.2	70	70	95
325	КП	Б22	150	181	0	340	200	4	220	60	9.7	70	50	70
325	КП	Б23	150	181	140	680	200	4	220	60	17.2	70	70	95
377	КП	А11	100	126	90	170	200	4	0	0	3.2	50	0	0
377	КП	А12	100	126	0	340	200	4	0	0	6.7	70	60	85
377	КП	А13	100	126	90	680	200	4	0	0	12.5	70	80	110
377	КП	Б12	100	126	0	340	200	4	220	60	7.7	70	60	85
377	КП	Б13	100	126	90	680	200	4	220	60	13.5	70	80	110
377	КП	А21	150	176	140	170	200	4	0	0	4.1	50	0	0
377	КП	А22	150	176	0	340	200	4	0	0	8.6	70	50	70
377	КП	А23	150	176	140	680	200	4	0	0	15.7	70	70	95
377	КП	Б22	150	176	0	340	200	4	220	60	9.6	70	50	70
377	КП	Б23	150	176	140	680	200	4	220	60	16.7	70	70	95
426	КП	А11	100	122	90	170	200	6	0	0	4.6	60	0	0
426	КП	А12	100	122	0	340	200	6	0	0	9.8	80	90	125
426	КП	А13	100	122	90	680	200	6	0	0	18.3	80	120	170
426	КП	Б12	100	122	0	340	200	6	220	60	11.2	80	90	125
426	КП	Б13	100	122	90	680	200	6	220	60	19.7	80	120	170
426	КП	А21	150	172	140	170	200	6	0	0	6.1	60	0	0
426	КП	А22	150	172	0	340	200	6	0	0	12.5	80	90	125
426	КП	А23	150	172	140	680	200	6	0	0	23.2	80	120	170
426	КП	Б22	150	172	0	340	200	6	220	60	13.9	80	90	125
426	КП	Б23	150	172	140	680	200	6	220	60	24.6	80	120	170
530	КП	А11	100	143	90	170	300	6	0	0	6.3	80	0	0
530	КП	А12	100	143	0	340	300	6	0	0	13.7	120	110	145
530	КП	А13	100	143	90	680	300	6	0	0	25.1	120	150	200
530	КП	Б12	100	143	0	340	300	6	350	70	16.4	120	110	145
530	КП	Б13	100	143	90	680	300	6	350	70	27.8	120	150	200
530	КП	А21	150	193	140	170	300	6	0	0	8	80	0	0
530	КП	А22	150	193	0	340	300	6	0	0	17.1	80	100	130
530	КП	А23	150	193	140	680	300	6	0	0	30.9	80	140	180
530	КП	Б22	150	193	0	340	300	6	350	70	19.8	80	100	130
530	КП	Б23	150	193	140	680	300	6	350	70	33.6	80	140	180
630	КП	А11	100	135	90	170	300	6	0	0	6.2	80	0	0
630	КП	А12	100	135	0	340	300	6	0	0	13.3	120	110	145
630	КП	А13	100	135	90	680	300	6	0	0	24.4	120	150	200
630	КП	Б12	100	135	0	340	300	6	359	70	16	120	110	145
630	КП	Б13	100	135	90	680	300	6	359	70	27.1	120	150	200
630	КП	А21	150	185	140	170	300	6	0	0	7.9	80	0	0
630	КП	А22	150	185	0	340	300	6	0	0	16.6	120	100	130
630	КП	А23	150	185	140	680	300	6	0	0	30.2	120	140	180
630	КП	Б22	150	185	0	340	300	6	350	70	19.3	120	100	130
630	КП	Б23	150	185	140	680	300	6	350	70	32.9	120	140	180
820	КП	А12	100	125	0	340	300	8	0	0	17	200	125	160
820	КП	А13	100	125	90	680	300	8	0	0	31.1	200	175	220
820	КП	Б12	100	125	0	340	300	8	350	70	20.5	200	125	160
820	КП	Б13	100	125	90	680	300	8	350	70	34.6	200	175	220
820	КП	А22	150	175	0	340	300	8	0	0	21.3	200	115	150
820	КП	А23	150	175	140	680	300	8	0	0	38.8	200	165	210
820	КП	Б22	150	175	0	340	300	8	350	70	24.8	200	115	150
820	КП	Б23	150	175	140	680	300	8	350	70	42.3	200	165	210
1020	КП	А12	100	161	0	340	500	8	0	0	27.6	340	149	175
1020	КП	А13	100	161	90	680	500	8	0	0	49.3	340	200	250
1020	КП	Б12	100	161	0	340	500	8	560	120	37.3	340	140	175
1020	КП	Б13	100	161	90	680	500	8	560	120	59	340	200	250
1020	КП	А22	150	211	0	340	500	8	0	0	33.3	340	130	165
1020	КП	А23	150	211	140	680	500	8	0	0	59	340	185	235
1020	КП	Б22	150	211	0	340	500	8	560	120	43	340	130	165
1020	КП	Б23	150	211	140	680	500	8	560	120	68.7	340	185	235
1220	КП	А12	100	150	0	340	500	8	0	0	26.8	400	140	175
1220	КП	А13	100	150	90	680	500	8	0	0	47.9	400	200	250
1220	КП	Б12	100	150	0	340	500	8	560	120	36.4	400	140	175
1220	КП	Б13	100	150	90	680	500	8	560	120	57.5	400	200	250
1220	КП	А22	150	200	0	340	500	8	0	0	32.5	400	130	165
1220	КП	А23	150	200	140	680	500	8	0	0	57.6	400	185	235
1220	КП	Б22	150	200	0	340	500	8	560	120	42.1	400	130	165
1220	КП	Б23	150	200	140	680	500	8	560	120	67.2	400	185	235
1420	КП	А12	100	142	0	340	500	10	0	0	32.5	450	150	190
1420	КП	А13	100	142	90	680	500	10	0	0	58.2	450	210	270
1420	КП	Б12	100	142	0	340	500	10	560	120	44.3	450	150	190
1420	КП	Б13	100	142	90	680	500	10	560	120	70	450	210	270
1420	КП	А22	150	192	0	340	500	10	0	0	39.5	450	140	180
1420	КП	А23	150	192	140	680	500	10	0	0	70.3	450	200	250
1420	КП	Б22	150	192	0	340	500	10	560	120	51.3	450	140	180
1420	КП	Б23	150	192	140	680	500	10	560	120	82.1	450	200	250
57	КХ	А11	102	102	12	170	50	3	142	170	2.1	2.5	3.0	5.5
57	КХ	А12	102	102	12	340	50	3	142	340	4.2	2.5	15	15
57	КХ	А21	152	152	12	170	50	3	142	170	2.5	2.5	3	5.5
57	КХ	А22	152	152	12	340	50	3	142	340	5.2	2.5	15	15
76	КХ	А11	101	101	12	170	50	3	160	170	2.2	3	3	5.5
76	КХ	А12	101	101	12	340	50	3	160	340	4.3	3	15	15
76	КХ	А21	151	151	12	170	50	3	160	170	2.7	3	3	5.5
76	КХ	А22	151	151	12	340	50	3	160	340	5.3	3	15	15
89	КХ	А11	100	100	12	170	50	3	179	170	2.2	5	3	5.5
89	КХ	А12	100	100	12	340	50	3	179	340	4.5	5	15	15
89	КХ	А21	150	150	12	170	50	3	179	170	2.8	5	3	5.5
89	КХ	А22	150	150	12	340	50	3	179	340	5.5	5	15	15
108	КХ	А11	103	103	16	170	80	3	200	170	5.4	6	10	13
108	КХ	А12	103	103	16	340	80	3	200	340	6.9	6	30	45
108	КХ	А21	153	153	16	170	80	3	200	170	6	6	8	10
108	КХ	А22	153	153	16	340	80	3	200	340	8.1	6	25	38
133	КХ	А11	101	101	16	170	80	3	250	170	6.3	8	10	13
133	КХ	А12	101	101	16	340	80	3	250	340	7.8	8	30	45
133	КХ	А21	151	151	16	170	80	3	250	170	6.8	8	8	10
133	КХ	А22	151	151	16	340	80	3	250	340	8.9	8	25	38
159	КХ	А11	101	101	16	170	80	3	275	170	6.9	10	10	13
159	КХ	А12	101	101	16	340	80	3	275	340	8.4	10	30	45
159	КХ	А21	151	151	16	170	80	3	275	170	7.4	10	8	10
159	КХ	А22	151	151	16	340	80	3	275	340	9.5	10	25	38
219	КХ	А11	109	109	20	170	200	3	365	170	13.4	25	25	38
219	КХ	А12	109	109	20	340	200	3	365	340	16.8	25	60	85
219	КХ	А13	109	109	20	680	200	3	365	680	21.7	25	80	110
219	КХ	А21	159	159	20	170	200	3	365	170	14.1	25	80	110
219	КХ	А22	159	159	20	340	200	3	365	340	18	25	50	70
219	КХ	А23	159	159	20	680	200	3	365	680	24	25	70	95
273	КХ	А11	103	103	20	170	200	3	420	170	15.1	25	70	95
273	КХ	А12	104	104	20	340	200	3	420	340	19.6	40	60	85
273	КХ	А13	104	104	20	680	200	3	420	680	25.8	40	80	110
273	КХ	А21	153	153	20	170	200	3	420	170	15.7	25	80	110
273	КХ	А22	154	154	20	340	200	3	420	340	21.5	40	50	70
273	КХ	А23	154	154	20	680	200	3	420	680	29.1	40	70	95
325	КХ	А11	102	102	20	170	200	3	470	170	17.4	50	70	95
325	КХ	А12	102	102	20	340	200	3	470	340	21	70	60	85
325	КХ	А13	102	102	20	680	200	3	470	680	26.9	70	80	110
325	КХ	А21	152	152	20	170	200	3	470	170	18.3	50	80	110
325	КХ	А22	152	152	20	340	200	4	470	340	22.8	70	50	70
325	КХ	А23	152	152	20	680	200	4	470	680	30.3	70	70	95
377	КХ	А11	101	101	20	170	200	4	525	170	19.1	50	70	95
377	КХ	А12	101	101	20	340	200	4	525	340	22.6	70	60	85
377	КХ	А13	101	101	20	680	200	4	525	680	28.4	70	80	110
377	КХ	А21	151	151	20	170	200	4	525	170	20	50	80	110
377	КХ	А22	151	151	20	340	200	4	525	340	24.5	70	50	70
377	КХ	А23	151	151	20	680	200	4	525	680	31.6	70	70	95
426	КХ	А11	101	101	20	170	200	4	575	170	22.1	60	70	95
426	КХ	А12	101	101	20	340	200	4	575	340	27.3	80	90	125
426	КХ	А13	101	101	20	680	200	4	575	680	35.8	80	120	170
426	КХ	А21	151	151	20	170	200	4	575	170	23.6	60	120	170
426	КХ	А22	151	151	20	340	200	4	575	340	30	80	80	110
426	КХ	А23	151	151	20	680	200	4	575	680	40.7	80	105	150
530	КХ	А11	103	103	20	170	300	4	705	170	36.5	80	105	150
530	КХ	А12	103	103	20	340	300	4	705	340	43.9	120	110	145
530	КХ	А13	103	103	20	680	300	4	705	680	55.3	120	150	200
530	КХ	А21	153	153	20	170	300	4	705	170	38.2	80	150	200
530	КХ	А22	153	153	20	340	300	4	705	340	47.3	120	100	130
530	КХ	А23	153	153	20	680	300	4	705	680	61.1	120	140	180
630	КХ	А11	102	102	24	170	300	4	805	170	41	80	140	180
630	КХ	А12	102	102	24	340	300	4	805	340	48.1	120	110	145
630	КХ	А13	102	102	24	680	300	4	805	680	59.2	120	150	200
630	КХ	А21	152	152	24	170	300	4	805	170	42.7	80	150	200
630	КХ	А22	152	152	24	340	300	6	805	340	51.4	120	100	130
630	КХ	А23	152	152	24	680	300	6	805	680	65	120	140	180
