#-#	Sizes	h=b(mm)	t(mm)	G(kg/m)	r1(mm)	r2(mm)	A(cm2)	Ix=Iy(cm4)	Wex=Wey(cm3)	ix=iy(cm)	Iu(cm4)	iu(cm)	Iv(cm4)	iv(cm)
40-7	L 50x50	50	3	0	7	3.5	0	0	0	0	0	0	0	0
41	L 50x50	50	4	0	7	3.5	0	0	0	0	0	0	0	0
42	L 50x50	50	4.5	0	7	3.5	0	0	0	0	0	0	0	0
43	L 50x50	50	5	0	7	3.5	0	0	0	0	0	0	0	0
44	L 50x50	50	6	0	7	3.5	0	0	0	0	0	0	0	0
45	L 50x50	50	7	0	7	3.5	0	0	0	0	0	0	0	0
46	L 50x50	50	8	0	7	3.5	0	0	0	0	0	0	0	0
47	L 50x50	50	9	0	7	3.5	0	0	0	0	0	0	0	0
48	L 50x50	50	10	0	7	3.5	0	0	0	0	0	0	0	0
49-8	L 55x55	55	4	0	8	4	0	0	0	0	0	0	0	0
50	L 55x55	55	5	0	8	4	0	0	0	0	0	0	0	0
51	L 55x55	55	5.5	0	8	4	0	0	0	0	0	0	0	0
52	L 55x55	55	6	0	8	4	0	0	0	0	0	0	0	0
53	L 55x55	55	8	0	8	4	0	0	0	0	0	0	0	0
54	L 55x55	55	10	0	8	4	0	0	0	0	0	0	0	0
55-9	L 60x60	60	4	0	8	4	0	0	0	0	0	0	0	0
56	L 60x60	60	5	0	8	4	0	0	0	0	0	0	0	0
57	L 60x60	60	6	0	8	4	0	0	0	0	0	0	0	0
58	L 60x60	60	7	0	8	4	0	0	0	0	0	0	0	0
59	L 60x60	60	8	0	8	4	0	0	0	0	0	0	0	0
60	L 60x60	60	10	0	8	4	0	0	0	0	0	0	0	0
61-10	L 65x65	65	5	0	9	4.5	0	0	0	0	0	0	0	0
62	L 65x65	65	6	0	9	4.5	0	0	0	0	0	0	0	0
63	L 65x65	65	7	0	9	4.5	0	0	0	0	0	0	0	0
64	L 65x65	65	8	0	9	4.5	0	0	0	0	0	0	0	0
65	L 65x65	65	9	0	9	4.5	0	0	0	0	0	0	0	0
66	L 65x65	65	10	0	9	4.5	0	0	0	0	0	0	0	0
67	L 65x65	65	11	0	9	4.5	0	0	0	0	0	0	0	0
68-11	L 70x70	70	5	0	9	4.5	0	0	0	0	0	0	0	0
69	L 70x70	70	6	0	9	4.5	0	0	0	0	0	0	0	0
70	L 70x70	70	7	0	9	4.5	0	0	0	0	0	0	0	0
71	L 70x70	70	9	0	9	4.5	0	0	0	0	0	0	0	0
72	L 70x70	70	11	0	9	4.5	0	0	0	0	0	0	0	0
73-12	L 75x75	75	5	0	10	5	0	0	0	0	0	0	0	0
74	L 75x75	75	6	0	10	5	0	0	0	0	0	0	0	0
75	L 75x75	75	7	0	10	5	0	0	0	0	0	0	0	0
76	L 75x75	75	8	0	10	5	0	0	0	0	0	0	0	0
77	L 75x75	75	10	0	10	5	0	0	0	0	0	0	0	0
78	L 75x75	75	12	0	10	5	0	0	0	0	0	0	0	0
79-13	L 80x80	80	6	0	10	5	0	0	0	0	0	0	0	0
